#probability;time_branch;time_branch_0;time_branch_1;time_cmov
0.000000;0.990000;0.400000;0.553000;0.397000
0.050000;1.045000;0.555000;0.757000;0.397000
0.100000;1.159000;0.768000;1.046000;0.406000
0.150000;1.185000;1.006000;1.218000;0.398000
0.200000;1.176000;1.065000;1.302000;0.398000
0.250000;1.139000;1.126000;1.358000;0.398000
0.300000;1.170000;1.373000;1.443000;0.398000
0.350000;1.294000;1.496000;1.612000;0.401000
0.400000;1.200000;1.502000;1.525000;0.399000
0.450000;1.193000;1.678000;1.589000;0.405000
0.500000;1.170000;1.672000;1.570000;0.398000
0.550000;1.160000;1.668000;1.496000;0.398000
0.600000;1.164000;1.661000;1.441000;0.397000
0.650000;1.142000;1.580000;1.386000;0.398000
0.700000;1.023000;1.457000;1.222000;0.398000
0.750000;0.949000;1.346000;1.083000;0.397000
0.800000;0.973000;1.266000;1.067000;0.408000
0.850000;0.989000;1.194000;0.946000;0.399000
0.900000;0.927000;1.154000;0.825000;0.398000
0.950000;0.930000;1.072000;0.770000;0.397000
1.000000;0.746000;0.950000;0.591000;0.399000
